1000 4000
780 759 729
126 29 134
536 342 353
672 507 497
213 995 492
438 757 420
702 12 934
367 311 104
390 192 427
255 235 337
401 493 328
754 319 126
413 12 294
800 697 756
973 203 457
919 543 231
651 424 98
643 718 258
377 902 657
804 289 514
698 23 407
777 400 83
114 603 966
396 656 759
821 489 680
708 237 987
105 342 49
497 801 654
745 830 209
150 222 920
766 575 367
234 884 687
764 351 737
840 14 429
332 220 191
53 452 423
331 2 511
874 519 193
466 428 957
137 932 544
483 339 704
263 725 195
199 136 768
212 804 981
488 495 585
533 615 273
66 675 268
320 465 199
853 446 409
487 163 753
763 709 838
935 384 443
731 69 362
630 728 712
856 546 140
284 4 245
391 712 306
199 578 561
579 454 867
237 206 910
590 533 995
245 343 145
706 737 668
444 289 735
251 672 965
677 66 937
750 422 7
265 415 250
202 340 286
912 980 136
619 677 475
446 503 199
172 511 842
952 778 286
427 957 711
76 550 160
458 164 412
427 622 921
353 569 728
777 539 41
378 501 34
741 547 143
353 565 661
117 550 634
471 130 203
405 406 269
405 717 795
652 376 623
208 676 888
794 201 48
344 222 580
326 873 510
797 974 225
476 86 18
420 375 236
948 661 388
811 209 282
20 376 151
292 57 931
627 830 105
293 741 352
69 820 341
410 686 71
569 308 590
459 721 935
70 133 456
345 414 566
57 301 177
593 55 512
401 77 751
981 771 524
529 788 809
701 185 112
68 518 393
953 206 5
587 443 847
184 255 877
404 865 753
161 42 175
447 377 58
881 111 556
992 354 154
828 832 203
12 655 320
708 935 490
365 425 67
457 943 152
321 925 532
606 953 985
372 777 385
718 99 316
666 720 126
846 318 384
650 493 356
401 997 234
45 543 216
69 841 157
139 323 864
407 732 869
945 579 908
926 384 378
86 457 163
45 203 331
596 875 90
11 97 102
941 664 554
974 799 52
410 258 744
174 256 374
896 957 104
289 660 718
825 667 353
577 638 750
473 583 930
538 798 246
258 12 427
71 156 781
320 550 444
654 877 70
528 190 541
33 469 542
331 1 113
62 303 439
557 543 516
84 924 938
590 507 601
582 700 753
414 580 966
688 53 955
373 23 508
971 46 352
309 606 454
161 870 597
989 248 894
500 109 302
662 38 660
833 202 91
119 644 239
7 581 965
721 278 833
642 360 778
46 148 226
289 546 785
817 77 289
950 487 710
206 369 813
122 239 647
210 22 583
29 197 89
900 258 857
144 517 69
236 562 726
696 907 291
745 998 289
950 565 412
882 140 334
889 286 283
616 463 165
781 981 449
328 473 918
880 145 910
83 668 883
254 893 491
452 304 348
328 898 593
284 429 580
535 668 415
242 973 992
539 873 962
190 314 114
987 106 721
170 299 102
224 582 537
46 738 904
474 763 597
287 544 672
20 431 709
845 125 964
690 737 249
604 204 620
102 836 314
543 593 322
621 402 766
904 16 730
975 502 868
548 457 343
3 371 931
517 408 191
202 662 252
323 470 812
398 330 690
769 707 769
29 955 205
315 156 909
150 891 947
276 383 412
462 940 266
490 309 415
96 196 566
419 439 995
950 582 669
897 374 380
343 579 477
562 676 842
613 621 581
540 882 126
598 166 382
124 617 3
866 464 657
723 842 708
489 319 20
103 402 548
920 334 709
81 117 895
891 852 583
12 529 72
32 306 59
254 70 737
550 896 74
643 258 336
803 731 323
124 180 727
280 936 79
325 687 982
275 670 83
508 526 355
851 212 982
935 330 777
855 567 802
372 372 59
287 985 915
336 136 676
923 423 453
131 531 16
855 149 832
399 802 472
107 579 704
250 848 881
229 375 0
252 295 269
288 883 400
658 83 975
994 497 163
81 786 959
995 344 434
127 162 800
861 465 837
664 264 824
619 83 694
985 218 309
602 968 328
237 313 813
790 800 45
878 146 537
580 310 79
975 468 990
904 953 973
211 902 909
963 394 15
489 126 254
717 815 522
51 105 937
706 20 120
872 703 526
817 643 405
252 731 124
614 476 428
533 4 371
903 837 639
637 819 655
666 338 167
227 510 462
888 651 15
312 618 566
704 249 246
401 836 40
873 938 832
1000 157 649
991 275 571
412 920 390
343 224 334
66 767 465
935 322 673
707 17 258
141 397 321
874 225 276
141 273 715
443 694 442
877 621 478
784 487 556
161 315 993
341 277 509
71 207 504
20 32 422
156 540 928
927 151 109
751 3 611
3 811 318
215 501 148
358 193 461
832 875 401
768 81 161
723 83 292
636 61 742
838 535 609
164 871 535
960 647 156
333 74 422
255 75 108
94 69 708
682 435 936
193 366 78
905 668 612
485 732 949
104 254 133
945 341 87
705 964 288
949 832 909
915 486 228
739 114 189
532 956 846
775 811 39
197 197 769
109 851 414
116 697 486
789 942 359
553 495 941
797 48 594
375 174 665
990 337 320
584 439 90
969 302 917
812 971 306
44 209 247
791 526 386
198 315 404
40 101 541
426 91 873
642 555 664
11 143 679
812 908 645
471 430 131
761 581 665
506 834 753
286 91 818
868 60 549
478 981 566
502 734 139
345 557 441
370 128 243
854 360 85
556 825 553
3 180 164
34 600 561
593 145 965
12 761 736
979 739 279
401 684 796
840 403 17
881 21 251
406 974 728
480 552 88
980 184 73
308 356 30
932 262 772
621 305 59
361 136 976
329 954 593
470 851 594
324 142 465
148 696 85
452 325 282
91 107 372
146 712 786
981 461 426
757 468 122
368 848 744
932 202 928
130 766 26
580 0 723
488 797 805
33 557 774
569 540 526
645 38 807
211 729 490
385 495 557
940 724 433
809 902 428
715 690 874
982 525 28
843 320 875
77 894 669
323 621 571
639 276 690
663 712 385
442 835 959
164 852 189
638 221 656
874 146 425
794 723 120
349 647 623
484 22 928
307 789 148
288 197 572
65 127 557
50 516 485
796 727 601
869 700 212
918 950 531
595 883 47
656 706 989
481 131 412
727 301 170
169 494 365
745 674 633
283 132 901
733 328 657
548 715 922
266 904 37
676 892 136
588 487 124
281 328 160
471 161 164
506 146 60
451 875 107
341 169 388
513 901 375
186 819 642
408 497 731
395 968 365
911 634 835
531 358 456
460 84 14
782 403 254
649 254 695
263 656 87
889 788 64
936 495 41
600 33 281
350 213 340
322 193 808
119 708 333
176 606 783
682 618 506
72 869 948
254 437 463
430 516 436
442 726 927
50 529 906
962 869 203
643 695 536
283 400 362
100 361 903
550 232 361
647 424 384
367 852 126
64 215 244
259 497 971
628 434 567
133 518 796
149 62 690
391 800 336
667 467 654
135 422 365
99 780 929
233 462 172
224 293 680
100 109 445
908 992 320
290 274 573
337 194 472
523 190 635
20 148 390
724 839 138
192 189 693
856 662 528
891 545 601
153 990 166
112 987 271
502 222 805
11 148 829
98 431 411
802 199 641
997 426 626
112 990 281
315 28 215
309 989 254
60 171 684
192 593 153
514 529 45
636 655 691
384 816 502
549 534 511
3 865 123
764 50 537
658 544 505
439 490 417
636 194 903
578 217 702
653 542 162
842 805 933
292 194 220
3 12 415
403 246 551
886 109 396
905 827 758
471 825 161
78 354 269
445 434 588
891 388 871
987 570 58
813 913 537
768 983 526
558 230 249
315 329 371
220 321 70
599 782 748
933 35 611
424 240 802
795 540 400
24 129 972
842 592 976
553 249 319
759 537 972
918 225 503
936 972 563
331 305 432
788 269 365
516 687 96
816 819 136
153 438 161
447 340 905
120 475 854
527 794 684
673 126 620
641 837 481
313 569 330
748 133 666
220 860 387
413 23 281
850 121 670
370 952 869
230 618 449
922 107 696
439 575 733
894 734 22
171 746 301
484 35 475
186 8 905
312 666 804
485 63 53
161 69 726
785 744 660
766 624 619
866 200 386
92 189 420
678 593 398
897 478 448
902 459 549
262 950 894
547 175 803
998 36 852
619 491 922
109 715 90
607 741 237
507 640 698
810 735 329
652 240 873
826 211 970
635 270 971
904 327 1000
212 692 203
452 845 787
254 28 719
95 480 465
630 968 655
361 13 11
27 895 536
607 719 210
357 633 195
310 716 77
132 72 358
369 361 911
14 824 70
696 148 369
215 841 829
420 550 782
78 262 151
538 207 406
106 751 195
508 507 608
240 67 846
24 992 763
247 846 604
874 380 409
796 839 441
542 968 923
758 186 269
100 196 92
485 957 879
797 652 567
210 597 320
867 365 164
558 431 894
900 816 949
684 259 61
715 107 213
820 889 292
325 898 393
456 353 784
587 978 763
882 395 16
26 13 986
154 526 649
207 348 942
154 591 989
967 298 81
421 617 680
762 241 949
298 935 809
325 219 974
51 370 222
67 69 578
115 418 946
154 393 369
775 331 517
534 669 731
747 764 141
915 892 74
106 65 603
62 822 390
531 42 764
789 998 30
269 170 485
654 184 2
115 131 992
940 797 723
371 451 374
818 16 703
814 170 572
706 775 933
602 695 803
471 300 64
764 542 509
345 191 560
57 385 944
528 830 496
447 282 771
163 366 278
853 512 794
46 987 105
996 202 97
291 505 644
480 349 993
841 125 440
571 801 63
399 824 48
37 142 262
6 15 471
210 781 555
155 223 453
529 796 396
60 523 66
215 920 490
797 304 889
338 439 193
354 909 657
949 693 462
825 752 294
395 956 935
809 310 60
339 560 449
256 133 154
265 125 106
75 259 300
310 11 412
666 782 797
665 808 336
755 179 375
795 267 527
996 101 303
757 806 624
518 985 613
270 207 774
14 615 20
518 104 963
965 746 733
767 629 935
443 11 282
569 213 188
197 808 569
572 337 626
389 150 3
288 14 996
521 511 609
337 318 430
213 344 281
942 615 759
836 479 246
60 934 89
826 247 320
324 600 101
299 446 504
82 863 869
845 370 698
841 721 123
563 630 468
876 656 653
31 165 638
898 504 684
993 816 827
604 11 316
612 449 382
872 489 697
99 437 606
602 850 388
785 991 804
828 793 483
568 315 550
609 163 772
308 544 302
608 850 205
576 328 332
805 981 380
904 374 325
778 717 209
751 83 559
737 694 718
212 656 383
778 179 248
41 783 428
327 237 734
0 465 205
693 403 603
924 340 25
305 470 948
95 54 34
189 701 395
550 458 141
820 428 538
403 786 45
452 645 376
816 1000 167
25 454 878
293 994 138
232 277 51
929 153 609
271 460 603
359 996 643
881 153 615
47 464 713
221 769 521
645 422 480
290 672 653
542 781 909
499 142 421
897 246 721
919 225 605
817 917 773
515 56 441
364 18 974
559 157 314
305 916 220
911 36 99
155 297 872
975 889 766
878 21 797
757 318 336
429 591 582
889 682 320
512 881 473
747 165 662
778 266 776
970 392 322
722 239 747
403 342 671
137 785 680
773 417 575
243 117 460
998 337 969
227 641 724
45 629 172
651 624 227
42 608 413
747 463 264
257 74 298
46 786 935
182 958 156
240 917 463
282 87 313
255 276 215
799 696 565
548 409 642
677 475 730
33 645 444
277 219 574
344 563 832
22 892 494
902 835 1
810 135 552
257 720 91
657 274 406
745 843 181
882 740 660
186 566 14
928 45 61
297 587 873
449 307 912
601 74 192
607 99 491
563 522 702
890 79 313
252 85 652
745 577 16
471 203 115
603 396 67
719 670 207
980 14 871
374 559 157
435 208 827
7 538 793
303 143 959
631 306 409
454 744 211
800 83 207
983 490 260
279 788 872
426 330 107
908 708 779
747 105 255
690 486 233
293 932 884
810 254 883
401 235 607
47 373 346
87 11 297
653 439 866
194 389 224
158 484 297
541 836 682
745 336 769
261 739 515
5 503 105
887 972 148
950 58 586
484 728 41
218 99 350
530 551 1000
175 462 947
154 143 978
44 513 252
682 331 641
265 236 290
457 394 942
419 273 1
943 371 66
24 597 100
362 210 518
456 406 882
428 370 468
581 984 56
13 801 824
200 166 54
695 763 700
15 559 793
458 760 692
316 531 673
166 348 686
192 597 807
821 721 912
525 441 250
680 313 70
840 440 57
436 33 553
51 500 481
183 948 820
344 720 680
355 180 185
163 719 471
207 172 252
751 939 63
459 698 970
260 506 758
878 368 260
475 199 680
809 76 627
246 837 307
264 140 680
52 539 988
717 871 143
97 655 379
690 721 597
487 901 438
3 636 410
207 829 14
979 313 616
423 795 88
486 548 553
362 175 931
528 994 439
220 905 992
296 703 812
895 153 317
556 706 86
464 792 433
320 729 196
28 742 527
203 909 741
866 928 673
324 943 444
945 994 117
182 248 44
508 18 624
679 26 662
279 430 107
142 594 555
55 537 922
796 35 785
197 683 27
185 678 223
32 103 99
113 472 70
127 512 793
581 636 401
663 272 829
1 917 476
516 769 393
946 620 307
532 662 151
231 303 163
910 918 794
472 831 464
654 511 909
546 149 778
945 241 325
755 183 975
596 888 835
862 106 946
754 742 465
190 639 975
254 0 666
898 354 275
767 706 332
897 963 568
258 330 344
624 559 846
194 527 360
661 567 928
615 39 674
344 979 694
260 150 147
877 253 980
874 222 592
98 102 373
865 743 515
292 776 7
319 822 128
664 956 82
515 537 117
544 835 873
337 862 698
35 944 991
888 845 955
393 673 810
137 441 138
862 282 310
834 339 929
234 219 851
874 356 173
816 607 495
550 785 683
286 285 786
353 583 4
739 214 552
224 401 243
406 900 279
713 582 885
577 741 523
493 554 336
283 425 749
629 929 812
718 355 365
760 844 640
315 773 116
802 567 472
850 181 77
511 988 822
923 627 588
520 636 281
189 527 415
413 270 366
393 802 273
966 981 661
568 546 220
102 410 305
390 26 719
763 595 131
970 775 110
807 909 917
326 923 449
507 113 349
656 916 581
704 537 80
884 566 883
346 348 488
983 377 132
542 538 410
108 654 530
716 440 33
179 117 553
964 545 538
257 98 793
193 842 259
548 328 846
331 253 228
217 706 229
24 140 634
211 880 256
398 869 549
211 538 664
878 417 118
20 333 335
135 964 864
555 671 804
960 823 471
808 445 460
667 543 134
495 650 150
504 625 168
529 919 251
191 752 696
484 472 874
246 531 811
40 904 89
819 664 699
643 332 814
517 111 841
418 246 773
926 172 454
122 59 726
17 220 876
952 853 910
679 611 449
665 270 136
255 422 947
695 725 667
354 229 785
742 374 557
709 661 230
384 218 731
105 444 568
829 286 54
256 950 173
497 608 121
711 566 558
214 349 903
267 242 441
847 149 606
274 333 890
487 442 785
696 895 337
616 511 10
847 592 533
509 870 71
382 119 890
567 786 754
229 779 732
545 872 317
12 630 581
4 793 26
395 664 626
369 776 127
699 578 869
664 736 941
192 981 635
189 59 366
918 644 948
212 756 808
189 851 32
124 996 697
530 490 650
752 832 825
772 462 903
810 556 237
983 657 244
973 202 531
213 991 821
923 394 574
503 207 767
651 250 860
67 96 407
519 968 798
149 807 441
162 91 354
983 316 475
921 64 290
223 999 551
844 27 507
232 878 453
512 935 532
980 605 139
350 305 368
712 702 69
514 981 969
266 374 306
119 916 288
871 366 564
298 294 535
244 314 226
387 615 112
744 287 608
47 907 228
884 701 664
191 151 871
688 705 367
896 248 851
44 320 167
813 910 311
203 605 152
232 15 536
683 669 753
883 105 803
788 683 492
106 744 780
871 764 876
852 669 601
985 593 286
366 70 909
119 986 277
290 757 260
364 632 343
210 953 627
935 390 860
255 773 423
53 929 515
768 199 223
724 494 253
870 193 987
828 140 911
676 460 50
955 754 650
808 763 802
557 924 818
815 256 149
599 491 209
498 217 241
779 393 865
745 309 241
856 384 540
336 212 604
649 749 491
885 28 594
858 481 226
933 927 750
705 178 912
729 956 605
830 28 791
930 40 755
802 363 432
112 27 408
52 725 774
785 199 686
239 671 83
828 542 103
582 909 412
952 99 600
210 57 103
319 979 479
931 693 36
5 29 281
493 525 885
554 482 159
320 216 116
872 624 249
857 123 264
66 203 144
750 529 356
959 809 1
815 845 794
665 846 90
106 375 259
812 940 110
455 132 380
116 214 818
919 438 839
956 281 129
665 805 72
156 707 323
581 66 783
779 45 746
265 870 73
411 172 764
608 493 190
93 68 125
447 221 838
347 734 931
358 73 88
790 381 762
670 313 7
525 743 785
927 875 811
639 722 977
24 80 415
853 619 47
275 853 51
777 907 131
633 77 42
77 395 114
83 769 233
600 778 897
374 994 178
60 106 55
708 781 490
724 841 811
221 653 540
550 425 838
106 256 853
686 449 54
437 103 296
736 619 784
975 91 684
856 191 448
916 271 705
553 546 30
686 852 512
883 512 709
229 259 845
318 378 125
303 715 771
672 789 409
682 376 924
667 889 981
682 207 177
980 925 730
143 43 736
690 54 890
162 324 754
791 563 486
240 274 570
409 673 49
566 933 719
22 156 142
531 856 623
657 291 213
29 683 981
631 173 170
898 90 721
276 504 563
589 106 440
878 862 945
891 863 482
376 380 83
284 107 513
358 658 721
845 229 521
224 489 371
385 604 261
516 81 960
541 252 512
492 214 807
653 337 80
423 166 658
216 870 742
118 150 21
339 17 978
324 952 958
883 888 78
24 537 244
683 979 990
210 422 35
124 719 272
465 554 597
604 727 524
983 75 275
947 502 607
281 91 719
251 84 169
630 525 739
277 521 996
100 187 839
227 815 14
1 95 216
82 804 547
85 824 202
432 682 193
323 980 587
124 272 931
931 997 658
633 366 608
45 307 596
140 529 415
791 43 756
352 115 226
520 652 784
309 319 302
663 495 289
535 1 652
707 314 6
473 620 963
448 559 309
433 68 953
343 591 844
337 212 274
483 940 216
256 841 722
560 432 145
816 532 627
531 756 850
104 647 623
565 602 109
751 532 211
518 238 663
714 895 568
240 730 803
52 792 500
237 998 800
867 95 877
904 796 648
382 580 980
409 894 805
833 311 702
233 571 912
160 97 340
143 590 934
954 17 724
926 583 562
115 970 670
171 639 357
516 937 856
597 216 400
417 881 1
138 240 908
127 556 794
740 460 350
663 358 736
669 753 75
881 733 346
517 286 317
306 397 673
811 278 454
9 107 424
32 273 826
286 952 108
127 638 508
459 224 94
980 240 248
972 499 901
748 113 851
139 126 761
734 667 604
598 540 639
210 82 915
81 419 746
15 470 727
752 720 751
450 442 229
408 566 505
295 802 859
622 817 716
17 610 947
499 222 70
852 217 382
643 733 981
941 746 311
593 167 837
326 213 619
866 185 660
597 632 219
246 203 894
369 485 995
888 86 697
809 935 349
56 657 456
220 724 32
982 901 802
676 744 300
611 545 140
174 305 622
222 33 53
608 335 723
381 813 915
704 39 255
243 721 110
297 320 509
408 317 744
870 706 898
415 713 758
466 217 217
143 318 933
617 34 726
485 902 141
403 530 480
137 241 46
481 71 604
27 329 588
321 16 149
554 426 66
695 351 216
878 377 919
997 834 187
867 380 156
877 71 68
245 398 963
342 231 279
153 950 465
230 891 297
670 536 372
796 559 332
616 963 334
955 153 402
992 866 539
313 788 100
484 334 962
89 900 467
467 707 256
494 527 565
929 771 23
813 221 107
682 696 338
429 199 502
539 566 267
478 905 980
415 126 226
743 186 300
203 571 285
760 41 747
132 925 461
79 357 256
782 78 162
947 67 734
742 844 607
892 65 37
345 453 776
294 508 799
988 879 583
640 615 76
270 907 434
155 158 31
104 250 919
540 126 446
560 697 154
850 946 516
71 699 635
520 184 494
268 614 640
915 442 940
779 470 719
217 617 485
421 894 758
780 269 696
655 751 22
161 254 852
859 835 520
23 616 665
145 924 558
88 655 922
166 548 351
292 174 307
264 797 480
979 704 57
179 499 964
247 668 37
802 249 13
946 542 831
631 999 708
557 667 833
57 122 704
646 834 144
950 115 264
887 34 653
381 545 794
49 821 906
307 900 129
520 514 727
842 231 2
537 376 867
8 735 3
334 338 187
98 856 299
854 107 560
701 622 320
101 226 215
939 77 792
326 673 497
183 480 249
988 534 338
695 432 595
235 554 349
120 821 690
180 147 521
962 979 911
982 383 631
94 183 708
241 319 440
184 217 635
325 545 376
852 458 894
338 224 880
503 577 183
657 537 465
85 107 298
882 225 742
217 531 883
855 792 338
818 512 812
15 903 333
649 657 27
981 304 612
517 110 662
874 265 754
389 862 65
246 607 171
359 344 608
463 904 84
951 938 392
677 83 37
916 189 594
580 675 642
301 711 958
725 104 378
566 24 700
39 440 92
365 989 533
784 892 704
282 956 181
271 718 230
959 413 300
262 845 34
155 939 917
485 220 667
949 386 632
810 743 625
196 710 803
868 885 102
95 972 335
992 647 199
278 513 828
132 426 832
759 602 161
794 572 60
932 846 362
464 309 759
955 43 749
769 840 8
80 946 219
496 851 822
497 789 289
842 449 167
20 194 290
794 750 824
463 103 151
735 552 97
460 847 142
746 242 869
899 19 941
996 22 50
314 714 380
475 976 724
305 723 464
381 583 81
742 166 621
428 929 398
147 263 139
954 451 38
945 527 836
816 337 310
94 13 499
764 704 610
866 732 725
476 976 795
803 461 299
296 666 718
474 350 963
81 208 885
435 494 984
832 300 390
248 612 890
631 667 452
542 988 232
523 722 674
279 403 209
964 701 588
847 76 149
459 770 180
47 301 369
64 199 116
298 178 758
311 53 941
729 396 356
17 268 759
813 948 538
32 593 924
305 882 167
893 228 695
784 766 950
721 885 156
369 676 765
29 625 530
845 556 113
131 149 16
165 769 465
2 635 478
781 348 104
454 876 870
402 395 971
816 360 529
702 579 576
267 886 272
479 798 769
774 121 799
378 812 598
297 254 307
940 463 10
33 705 921
985 649 958
964 184 678
824 568 235
357 257 188
807 263 97
616 627 860
601 611 903
222 566 606
809 849 451
594 777 540
973 302 685
551 653 169
772 924 557
647 847 450
771 23 496
524 917 558
191 140 470
973 387 546
630 209 31
683 511 152
249 294 338
97 748 785
740 326 188
147 623 333
971 643 373
925 225 921
280 961 891
556 474 48
864 636 205
668 374 217
224 176 848
963 97 524
729 808 942
998 261 970
807 983 950
255 60 570
297 610 190
588 944 636
287 829 336
604 304 762
823 123 799
509 459 729
753 750 985
402 143 861
811 117 842
149 393 511
684 883 564
15 769 925
791 303 220
81 410 50
874 579 329
177 455 71
784 746 655
367 620 150
362 751 300
42 553 924
799 743 530
175 930 787
57 569 862
949 267 240
452 478 618
929 688 122
366 633 343
22 184 450
436 11 946
317 357 597
701 969 722
599 414 159
351 537 885
765 9 869
199 809 982
632 744 435
998 389 34
286 508 417
865 470 154
75 561 472
603 345 338
146 622 423
126 447 210
969 643 555
828 926 969
78 671 849
993 797 959
735 143 463
40 667 356
571 565 525
924 630 930
814 579 721
214 946 476
480 786 811
711 825 738
777 849 386
193 967 766
809 463 789
148 109 945
448 176 913
484 520 144
945 768 552
378 791 230
362 86 595
536 187 197
248 693 597
581 546 439
838 705 182
624 589 301
230 962 596
629 997 35
585 613 475
789 147 276
651 936 565
468 936 129
368 36 763
369 461 428
731 459 654
878 799 70
424 244 134
710 124 832
768 179 744
186 64 618
348 545 390
532 361 266
272 236 973
869 982 517
478 293 243
791 405 867
506 55 752
728 95 24
616 98 417
609 979 906
710 280 47
740 828 356
62 613 316
605 429 952
789 216 203
502 342 477
195 387 115
639 145 202
727 496 891
324 24 171
898 207 592
449 363 136
408 106 476
619 541 174
28 281 647
308 461 919
705 702 485
156 815 295
448 809 439
583 925 699
494 821 533
238 386 663
605 242 824
824 367 97
982 230 539
891 814 623
395 890 452
138 917 2
629 432 22
909 857 843
391 694 258
624 188 624
94 204 902
759 166 666
995 93 345
344 412 792
107 2 950
86 598 342
347 993 575
16 46 387
940 152 882
475 277 55
441 577 904
363 240 1
695 206 644
644 742 839
175 77 872
683 581 835
522 512 826
593 401 402
105 874 720
560 953 917
357 991 322
66 515 380
730 979 369
543 909 301
393 513 916
44 461 800
752 231 964
339 404 77
581 287 882
906 390 129
133 305 13
452 234 849
961 586 958
631 754 290
290 801 158
265 803 347
135 812 907
804 361 588
240 73 302
434 278 953
446 567 115
977 705 2
692 154 389
678 60 267
282 534 829
646 814 381
834 270 254
847 241 824
804 151 751
397 559 421
191 400 278
599 469 678
381 171 374
93 161 138
518 427 523
700 338 833
813 897 262
280 978 676
310 917 977
225 238 81
967 117 609
164 663 595
39 654 345
695 493 824
77 192 966
2 444 211
165 59 765
118 413 584
150 278 55
217 853 273
158 733 605
868 582 663
778 174 428
439 499 735
767 433 733
961 945 498
417 97 373
708 289 90
576 138 178
997 878 224
159 118 652
401 94 73
856 891 144
657 545 374
978 740 583
194 671 251
231 90 645
839 939 425
304 615 662
1000 459 24
504 992 78
980 789 552
315 735 432
951 787 414
185 943 377
24 623 266
785 799 587
333 294 121
69 205 844
255 550 390
86 814 423
959 272 843
849 475 208
165 825 166
509 27 713
884 35 824
344 237 970
294 646 201
421 469 49
792 866 806
709 988 94
725 297 335
245 849 134
727 147 60
109 65 386
851 962 572
88 249 776
104 278 857
315 805 948
599 282 429
305 839 242
964 10 515
57 37 938
763 691 534
787 539 642
127 826 159
250 870 651
212 180 475
729 636 420
258 71 565
687 765 219
555 136 415
828 879 43
843 804 642
790 937 326
804 640 804
364 83 961
400 692 934
927 910 158
286 731 663
970 993 719
377 70 642
871 790 675
715 990 266
686 754 916
683 358 347
507 440 696
272 622 176
597 912 804
878 1000 216
400 351 207
811 342 509
523 132 745
288 552 937
569 747 413
685 853 984
294 104 609
369 149 716
106 112 56
418 887 852
350 185 377
649 947 227
409 278 504
636 867 926
272 891 306
857 524 683
282 565 656
571 699 858
910 733 271
547 779 248
162 647 781
770 174 923
910 900 628
415 779 825
387 973 731
504 866 681
439 194 114
676 212 755
355 403 665
52 979 144
890 695 828
783 949 419
35 519 901
380 243 810
317 365 942
876 920 25
699 294 472
461 32 869
839 319 959
996 890 595
143 396 830
877 306 158
402 200 187
42 109 66
342 276 1
762 696 443
949 933 880
744 915 61
164 610 615
806 739 951
140 299 244
607 316 163
391 232 846
280 196 581
866 889 285
361 597 428
766 641 338
264 979 723
351 508 14
18 379 845
803 343 883
637 697 534
790 460 25
482 447 789
495 285 379
985 790 603
505 850 362
869 516 514
725 874 254
307 573 977
278 462 249
933 404 895
963 427 572
308 638 877
296 409 292
929 441 30
482 601 707
810 671 179
397 815 821
305 961 55
706 284 909
245 678 7
492 858 323
72 701 436
416 500 419
439 853 920
417 939 652
471 564 273
543 244 287
547 321 26
183 571 314
840 845 294
918 395 949
810 675 424
719 61 702
684 127 996
521 154 29
140 169 179
780 794 341
335 892 924
655 110 759
707 428 558
835 461 582
928 765 370
445 719 865
883 801 607
708 924 694
678 960 34
151 682 12
290 120 139
170 781 921
148 491 5
325 788 344
771 660 336
235 997 300
785 834 849
598 550 901
647 939 349
622 704 190
699 831 351
894 700 233
881 623 426
635 839 383
153 721 949
24 73 435
203 831 548
154 789 748
424 811 463
56 96 309
863 388 786
290 137 902
555 464 775
666 106 760
272 246 8
509 286 323
964 541 369
934 879 23
842 959 56
997 558 366
127 72 826
249 27 265
715 101 142
361 636 70
463 47 12
146 220 819
266 492 797
208 517 660
277 138 600
260 888 93
548 759 269
999 644 580
818 562 300
605 502 583
231 876 462
30 352 316
752 889 981
567 443 527
85 827 87
56 499 192
102 749 573
117 667 563
560 544 931
985 85 109
403 609 368
156 500 953
237 983 61
948 732 241
30 655 839
